# ln a,ln lambda, ln Gamma, ln P_GP, s, gamma_0, P_b, T0_b, K_b, h_b, k_b, P_c, T0_c, K_c, h_c, k_c, P_d, T0_d, K_d, h_d, k_d
1.587511,3.260021,-1.111042,2.741766,0.000210,0.080813,2.252934,1366.170773,0.053808,0.314354,0.460166,3.690616,1367.274264,2.635292,-0.145689,0.178376,7.452218,1362.737059,1.455353,-0.031272,0.034064
1.315478,6.064731,1.929885,3.242569,0.137362,0.110952,2.252928,1366.170718,0.139298,0.154179,0.226071,3.690254,1367.275423,2.533262,-0.250329,0.063469,7.452395,1362.737471,1.159128,-0.112440,0.265805
2.092124,6.628766,0.457813,3.352636,0.013836,0.123912,2.252987,1366.170525,0.430868,0.266768,0.294228,3.690091,1367.277172,2.016934,0.105155,0.032139,7.451449,1362.738421,1.819288,-0.159901,0.235015
1.941346,5.929036,1.524704,3.303236,0.107918,0.391627,2.253225,1366.170705,0.564593,-0.001245,-0.003462,3.690240,1367.274308,2.555389,-0.163492,0.350411,7.451894,1362.737876,1.947260,0.059668,0.172321
1.736321,4.501731,1.822428,3.603358,0.004258,0.173040,2.253674,1366.170820,0.459478,-0.352986,0.037728,3.690085,1367.275824,2.265025,-0.037000,0.441254,7.452289,1362.739038,1.263433,-0.344930,0.200037
2.587625,2.326676,1.708482,3.866121,0.290516,0.005156,2.252833,1366.170676,0.547010,0.258406,-0.095547,3.690415,1367.275251,2.245349,-0.253370,-0.015167,7.450851,1362.737855,1.085891,0.017051,-0.357063
2.749303,2.663088,-4.429369,3.353209,0.177038,-0.575363,2.253335,1366.170739,0.758980,0.201167,-0.129456,3.690486,1367.274374,1.989637,-0.132475,0.032408,7.451929,1362.737587,1.471534,0.266234,-0.125194
2.042990,2.400577,-2.906419,3.658016,0.007908,-0.293528,2.252765,1366.170849,0.703535,0.045172,0.215518,3.690222,1367.274242,1.754980,-0.136239,-0.076979,7.452292,1362.736923,1.256095,0.359610,-0.435049
1.010459,7.171789,1.923071,3.943722,0.010849,0.083755,2.253310,1366.170893,0.783681,0.127383,-0.136020,3.689979,1367.275104,2.107820,0.079403,0.013241,7.450596,1362.738278,1.452140,-0.149960,-0.033965
0.948889,1.305976,0.581590,3.808756,0.015088,0.159695,2.253783,1366.170618,0.193723,0.458839,-0.413253,3.690579,1367.274372,1.487694,-0.337139,0.154359,7.451264,1362.738704,1.866778,0.086686,0.284700
1.712314,2.354117,1.398444,3.806932,0.001760,0.376410,2.253184,1366.170720,0.011936,0.135319,0.479487,3.690390,1367.273973,2.121847,0.123771,0.046928,7.449914,1362.735218,1.554605,-0.308764,0.170226
1.539326,7.977937,1.599216,3.956851,0.000296,0.018118,2.253590,1366.170939,0.982684,-0.023650,-0.150319,3.690397,1367.274687,2.060018,0.093228,-0.072507,7.450823,1362.736943,1.320683,-0.055395,-0.118764
1.363514,5.859599,0.862022,3.297253,0.200926,-0.131452,2.253482,1366.171020,0.823316,-0.305943,0.887365,3.690309,1367.275270,2.331129,-0.114361,0.405468,7.452251,1362.737319,1.763494,0.278713,0.270408
1.594588,6.843446,1.505107,3.278865,0.031234,0.170461,2.253142,1366.170672,1.130505,0.103782,0.075134,3.689983,1367.275078,2.397241,-0.058790,0.267872,7.452784,1362.737783,2.114498,-0.214585,-0.252740
1.298242,5.722627,1.401705,3.313822,0.368421,-0.290420,2.252989,1366.170945,0.900729,0.299986,-0.167870,3.690117,1367.275468,2.056742,-0.274539,0.044410,7.451132,1362.736521,1.054440,0.086468,0.361988
2.466791,5.951174,0.632003,3.338665,0.073881,0.088169,2.253116,1366.170654,0.633076,0.180531,-0.355945,3.690804,1367.274408,1.818261,-0.330072,-0.118975,7.451622,1362.737049,1.238870,0.001380,-0.026949
1.165185,7.302264,1.899572,3.937907,0.023331,0.040251,2.253294,1366.170906,0.746620,0.144771,-0.157515,3.690072,1367.275061,2.107306,0.112216,-0.017847,7.450637,1362.738142,1.426257,-0.113185,-0.072533
2.201122,4.601978,-0.285570,2.903698,0.109301,0.279142,2.252908,1366.170843,0.318443,0.075734,0.200972,3.690008,1367.275289,1.749755,-0.073171,0.144284,7.452455,1362.738257,1.148190,-0.155056,-0.545234
2.235893,6.073060,0.473825,3.282517,0.203945,-0.776436,2.252918,1366.170799,0.423717,-0.255002,-0.040368,3.689910,1367.275598,1.649066,-0.250022,0.189137,7.451306,1362.737189,1.772929,0.135225,0.011505
1.819757,8.205343,1.835689,3.926605,0.254880,-0.060271,2.253577,1366.170858,0.665091,0.149810,-0.123997,3.690236,1367.274744,1.730444,0.059327,-0.190489,7.451624,1362.738340,1.395690,-0.061871,-0.285000
2.513978,2.365255,-2.668761,2.183810,0.000999,0.156424,2.252939,1366.170772,0.666022,0.066301,0.006063,3.690068,1367.274786,1.872548,0.063110,0.163852,7.452545,1362.738705,0.871741,-0.057366,-0.054935
1.920329,8.687763,1.890296,3.936151,0.059024,-0.290312,2.252912,1366.170883,1.012020,-0.076189,0.166951,3.690196,1367.274534,2.140179,0.000036,0.046614,7.451370,1362.736002,2.013129,0.278567,0.094571
1.735103,6.867137,1.605211,3.656336,0.001002,0.010695,2.253299,1366.170632,0.484966,0.038833,-0.131556,3.690450,1367.276076,1.861338,-0.065976,-0.089816,7.451914,1362.737309,0.976683,0.054871,-0.100871
1.700149,1.918823,0.092511,3.076799,0.000191,0.465337,2.252903,1366.170751,0.505567,0.060983,0.911360,3.690391,1367.275874,2.121294,-0.144009,-0.007913,7.453713,1362.735864,1.316507,-0.189884,0.176160
1.733199,5.853660,0.997433,3.237849,0.003153,0.171421,2.253107,1366.170754,0.220962,0.108241,-0.145715,3.690911,1367.274781,2.185527,-0.087674,-0.018429,7.451232,1362.737534,1.428266,-0.158416,-0.026015
2.602422,3.792001,-1.005428,3.307519,0.002352,0.262150,2.252986,1366.170845,0.138781,-0.152273,-0.243445,3.690508,1367.275253,2.647662,-0.249207,0.009564,7.451917,1362.736677,1.255258,-0.166468,-0.379671
2.150326,6.530341,0.816384,3.262223,0.000822,-0.021413,2.253395,1366.170772,0.478812,0.089211,0.023819,3.690314,1367.276188,2.137077,-0.211158,0.208019,7.451300,1362.737928,1.470258,-0.099698,-0.200729
1.896422,3.791888,0.159561,2.742041,0.113918,0.002307,2.252935,1366.170670,0.757301,-0.367168,0.619265,3.690206,1367.274494,1.918716,0.050614,0.335433,7.451562,1362.736889,1.680179,-0.120748,0.305894
1.204196,6.807554,0.995731,3.281689,0.077360,-0.100471,2.253201,1366.170906,0.260405,-0.055846,-0.065410,3.690061,1367.274843,2.157697,-0.190231,0.060004,7.452239,1362.738096,1.482198,0.129398,-0.228501
1.949271,7.841448,1.932997,3.923821,0.303842,0.187717,2.253791,1366.170702,0.877339,-0.078247,-0.046699,3.690865,1367.275952,2.459090,0.016798,-0.161035,7.450631,1362.736956,1.759344,-0.303431,-0.156312
1.420150,6.904219,1.647195,3.699514,0.580619,-0.087624,2.252849,1366.170679,0.019008,0.200691,0.423963,3.690299,1367.275834,1.838423,-0.000593,0.102118,7.450508,1362.738059,2.145855,0.271499,0.519770
1.467072,7.897348,1.589768,3.956834,0.000306,0.001797,2.253645,1366.170930,1.001494,-0.038678,-0.115634,3.690387,1367.274727,2.066552,0.089713,-0.054392,7.450750,1362.736893,1.323719,-0.058915,-0.076381
2.168750,3.169421,1.671622,3.970311,0.253530,0.119976,2.252755,1366.170862,0.208767,0.672271,0.492575,3.690294,1367.275101,1.577268,-0.312550,0.042324,7.450081,1362.737105,1.224985,-0.082765,0.435560
2.003881,3.546887,0.904288,3.394584,0.539863,0.860387,2.252723,1366.170717,0.000975,-0.000661,0.185841,3.690299,1367.274647,1.772227,-0.235610,-0.043485,7.452570,1362.737431,1.790916,-0.327005,0.314731
1.854072,4.525297,1.580200,3.354146,0.000003,0.123144,2.253049,1366.170655,0.104218,-0.243370,0.127188,3.690413,1367.275891,1.798824,-0.298274,0.191297,7.451359,1362.736743,1.496194,-0.385757,0.497599
2.330154,2.881562,0.437396,3.501886,0.066147,-0.161500,2.252833,1366.171065,0.000459,-0.095065,0.323066,3.690865,1367.274791,2.321594,-0.311616,0.263570,7.451285,1362.736287,1.155604,-0.039213,0.172364
2.050455,3.553545,1.640111,3.577521,0.417347,0.311673,2.253234,1366.170790,1.270073,-0.066392,-0.189623,3.690372,1367.275512,1.886203,-0.225551,-0.107275,7.450788,1362.738133,1.129653,-0.304447,0.113876
2.443631,4.662789,-0.767671,2.513573,0.147515,0.277702,2.252988,1366.170738,0.028217,-0.150103,0.691753,3.690262,1367.275103,2.153135,-0.247969,-0.100255,7.449262,1362.735965,1.158259,-0.090252,-0.085200
1.471033,6.402249,1.199416,3.247154,0.000005,0.194414,2.253306,1366.170963,1.290819,0.244870,-0.120252,3.690055,1367.275976,2.806901,-0.115647,0.446574,7.451155,1362.736747,1.459014,0.186726,0.172061
2.085333,3.227844,0.608396,2.870281,0.430558,0.500269,2.252471,1366.170830,0.829051,-0.003319,-0.684561,3.690297,1367.274491,2.586402,-0.295578,0.250528,7.450214,1362.737549,1.673044,-0.032509,0.394266
1.373814,6.149021,0.990591,3.270224,0.007040,0.136444,2.253575,1366.170993,0.063069,0.136825,0.034986,3.690139,1367.276134,2.219872,-0.020676,-0.036699,7.452734,1362.736745,2.000209,-0.139164,-0.013028
2.556353,3.412429,0.286302,3.450864,0.000020,0.137077,2.253714,1366.170924,0.086615,0.121097,-0.340810,3.690775,1367.274623,2.204015,-0.063148,0.239655,7.451753,1362.736778,1.662754,-0.282681,0.096897
2.345685,5.373471,1.041520,3.515229,0.323632,-0.054978,2.253115,1366.171092,0.147876,0.140774,0.208094,3.689841,1367.274687,1.836580,-0.353798,0.161136,7.449953,1362.737670,1.068085,-0.061108,0.049054
1.582604,6.884454,1.698029,3.268038,0.015485,0.118238,2.253192,1366.170826,0.795902,-0.054214,-0.399013,3.690160,1367.275437,2.131981,-0.108078,0.360371,7.450384,1362.738795,1.211920,-0.253756,0.067361
2.488536,8.343210,1.782178,3.934037,0.304538,0.044517,2.253296,1366.170807,0.481326,0.002497,-0.148661,3.691062,1367.275862,2.229139,-0.189514,0.068571,7.450683,1362.737315,1.646723,-0.207094,-0.258750
2.148422,6.321071,0.821257,3.293565,0.004993,-0.584934,2.253131,1366.170731,0.166182,0.353525,-0.688471,3.690865,1367.275303,2.233377,-0.007481,-0.270941,7.451333,1362.736130,1.312205,-0.202001,-0.186589
1.779949,4.403675,1.742288,3.165828,0.027572,0.099287,2.253073,1366.170702,0.560462,0.120820,-0.423705,3.690322,1367.275138,2.308357,-0.156279,0.427671,7.450798,1362.738091,2.116056,-0.055952,-0.072626
1.779949,4.403675,1.742288,3.165828,0.027572,0.099287,2.253073,1366.170702,0.560462,0.120820,-0.423705,3.690322,1367.275138,2.308357,-0.156279,0.427671,7.450798,1362.738091,2.116056,-0.055952,-0.072626
1.632044,5.345557,0.855017,3.294671,0.113178,0.029493,2.253417,1366.170748,0.959689,-0.109177,-0.485734,3.689983,1367.274302,2.157158,0.076631,0.013102,7.450216,1362.738189,1.906603,-0.239948,-0.433869
2.860510,8.724110,1.686425,3.943550,0.165425,-0.194156,2.253118,1366.170863,0.663921,-0.013768,-0.470307,3.690672,1367.274633,2.311418,-0.006727,-0.142016,7.451994,1362.737086,2.126801,-0.265810,-0.260070
2.240883,5.387954,0.841910,3.336594,0.132418,-0.280672,2.252869,1366.170857,0.476234,0.118040,0.225617,3.690905,1367.275052,2.198076,-0.208813,0.051752,7.452420,1362.736896,1.457797,-0.027751,-0.142030
1.963821,3.509995,1.029715,3.433255,0.000002,0.291328,2.253020,1366.170928,0.756627,0.450957,0.163698,3.690406,1367.274476,2.820252,-0.016430,0.330698,7.452052,1362.737593,1.440129,-0.153825,0.077569
1.534323,6.395612,1.804427,3.638352,0.147619,0.025417,2.253871,1366.170631,0.616985,-0.059167,-0.068112,3.689908,1367.274566,2.260725,-0.141398,0.082714,7.451647,1362.739264,1.564463,-0.200710,0.019577
1.704922,3.695486,1.722182,3.542400,0.362522,0.266159,2.253406,1366.170733,0.096647,0.055701,0.504676,3.690657,1367.274529,2.016487,0.122554,0.188107,7.451561,1362.736628,1.405632,0.258583,-0.008435
2.027492,3.825547,1.530104,3.758885,0.000552,-0.011399,2.252969,1366.170887,0.822754,-0.039880,0.273217,3.690373,1367.275271,2.047757,-0.291713,0.083799,7.452405,1362.736184,1.716521,0.062767,-0.197457
1.799025,4.937724,1.263079,3.435020,0.249912,0.267869,2.253086,1366.170723,0.015795,-0.097417,-0.191150,3.690338,1367.276107,1.974301,-0.310218,0.033714,7.450663,1362.738444,1.643675,0.140829,-0.227189
2.042129,3.625481,1.506515,3.757505,0.020322,0.161009,2.252795,1366.170930,0.380449,-0.325140,-0.125415,3.690105,1367.275762,1.511907,0.080317,-0.039888,7.452502,1362.737067,1.308653,-0.382041,0.028836
2.423368,3.394396,1.106693,3.708838,0.106195,-0.100188,2.252651,1366.170961,0.002062,-0.040112,0.323111,3.690714,1367.274899,2.127802,-0.265107,0.435080,7.451130,1362.736593,1.321968,-0.135632,0.099663
1.584997,2.183928,1.212621,3.552107,0.113507,-0.140570,2.253209,1366.170727,1.112164,0.179723,0.956194,3.690253,1367.275292,2.569287,-0.325909,0.300127,7.451902,1362.737151,1.784974,0.188188,0.393190
2.363088,8.765624,1.742614,3.940641,0.000234,0.161022,2.252974,1366.171019,0.679116,0.156814,-0.596156,3.690579,1367.274415,2.006713,0.123952,-0.260744,7.451828,1362.737552,1.288282,-0.001521,-0.610488
1.376886,6.813609,1.137804,3.281449,0.000098,-0.295238,2.252899,1366.170973,0.228938,0.190715,-0.599869,3.691050,1367.276160,2.204023,-0.021080,-0.259410,7.451399,1362.739118,2.009564,0.159772,-0.224091
2.385146,6.309484,0.515721,3.277445,0.054606,-0.072405,2.253402,1366.170890,0.302453,-0.091386,0.067009,3.689713,1367.275028,2.222978,-0.136947,-0.058609,7.452440,1362.738512,1.452192,-0.210864,-0.420640
1.606063,7.774192,1.987302,3.922571,0.111708,-0.001991,2.252596,1366.170850,0.802018,-0.217805,-0.117262,3.689921,1367.274944,2.129519,-0.000036,0.120549,7.451453,1362.735442,1.818206,-0.025366,-0.042052
1.197106,3.287763,1.199931,3.736477,0.000150,0.335483,2.253625,1366.170784,0.001418,-0.038701,0.035974,3.690508,1367.274353,1.870894,0.004604,0.083285,7.451215,1362.736469,1.314962,0.097220,-0.005676
2.026377,6.626621,0.747754,3.243053,0.110739,0.120609,2.253143,1366.170826,0.896054,-0.146947,0.698718,3.690277,1367.274392,2.473129,0.026547,0.130661,7.450816,1362.736582,1.564147,0.452580,0.107330
1.667953,6.430951,1.819232,3.637501,0.065585,-0.035653,2.253008,1366.170885,0.341017,0.036307,0.069990,3.690136,1367.275282,2.160120,-0.303769,0.253549,7.448990,1362.736189,1.421747,0.225573,-0.083592
1.790419,6.198404,1.494023,3.360637,0.028376,-0.207774,2.253570,1366.170667,0.447115,-0.122127,-0.468110,3.690773,1367.275005,2.258122,-0.070692,0.083878,7.449672,1362.736673,1.710273,-0.316498,-0.028396
2.748364,5.197486,0.916538,3.366326,0.000247,0.110425,2.253107,1366.170608,0.014732,0.123224,-0.590221,3.691017,1367.276187,2.012382,0.044989,0.387037,7.451748,1362.738480,1.517956,-0.153121,-0.142692
2.372120,6.654576,0.515567,3.278277,0.027769,-0.048458,2.253317,1366.170830,0.571865,-0.087278,0.275306,3.690124,1367.275073,2.099706,-0.207400,0.120224,7.452655,1362.738134,1.574813,-0.202608,-0.303038
1.012439,7.162931,1.921958,3.941361,0.010844,0.084869,2.253308,1366.170892,0.784713,0.126292,-0.133974,3.689979,1367.275103,2.108357,0.079428,0.013455,7.450600,1362.738272,1.451157,-0.149519,-0.033528
1.925741,5.287652,0.921395,3.328535,0.009876,-0.204836,2.253508,1366.170722,0.194249,-0.063788,-0.185973,3.690999,1367.274770,1.986501,-0.060989,0.030562,7.449797,1362.736793,1.665474,-0.133764,0.035799
2.072008,5.607820,1.873203,3.702080,0.314650,-0.320408,2.252831,1366.170856,0.570326,-0.177359,0.387195,3.690346,1367.274902,2.787732,-0.172702,0.567933,7.450413,1362.737124,1.758764,-0.078280,-0.001227
1.637265,6.420122,1.851119,3.297915,0.000969,0.190008,2.253583,1366.170615,1.205603,-0.338098,-0.675298,3.690223,1367.275861,1.927928,-0.300362,-0.083161,7.451555,1362.737502,1.062422,-0.048936,-0.220619
1.793135,5.454812,1.229021,3.359541,0.366643,0.245651,2.252544,1366.170758,0.136910,-0.002589,0.343114,3.689904,1367.274801,2.341775,-0.063260,0.439764,7.450705,1362.737549,1.489468,0.098477,0.283049
1.894794,6.868079,1.648447,3.291595,0.004326,0.108050,2.252522,1366.170912,1.122811,-0.134717,-0.521669,3.690217,1367.275930,2.709343,0.018230,0.284564,7.452234,1362.738171,1.403413,-0.288683,-0.386606
2.025354,5.320986,0.909783,3.293492,0.006964,0.053828,2.253321,1366.170866,0.790357,0.201543,-0.002265,3.689342,1367.275259,1.941141,-0.188629,-0.038186,7.451043,1362.737473,1.796058,-0.069933,0.008423
2.305145,3.628681,-1.418339,2.435255,0.436955,-0.141450,2.253218,1366.170878,0.001405,0.141985,-0.478456,3.690196,1367.275434,2.604047,-0.124679,-0.135885,7.451772,1362.738870,1.659077,-0.258987,-0.241798
2.287696,4.697361,1.420054,3.711174,0.066817,0.106382,2.253708,1366.170824,0.029859,0.203294,0.854220,3.690570,1367.276259,2.361769,-0.245507,0.032471,7.450917,1362.737681,1.013038,0.035288,0.080487
1.844980,7.128040,1.990926,3.712102,0.137467,0.104744,2.253284,1366.170829,1.000940,-0.000809,-0.521918,3.690984,1367.273492,1.784243,0.140892,-0.085845,7.451073,1362.739369,2.226781,0.164241,0.161973
2.115187,8.222158,1.554672,3.949800,0.374647,0.020250,2.252410,1366.170757,0.766777,0.032742,0.125260,3.690329,1367.276520,2.476548,-0.167617,-0.103075,7.450900,1362.737638,1.349205,-0.015939,-0.108382
