1408.853661 & -5678.7 & 2.3 & 6.93 & 0.02 & 5.43 & 0.05 & 12.32 & 0.17 & 0.91 & 0.02 & 0.69 & 0.09 & 3.0588 & 23.2798 \\ 
1409.844622 & -5678.9 & 2.4 & 6.77 & 0.02 & 5.22 & 0.05 & 11.46 & 0.17 & 0.84 & 0.02 & 0.65 & 0.10 & 3.0637 & 23.3301 \\ 
1412.858886 & -5679.1 & 2.2 & 7.07 & 0.02 & 5.79 & 0.05 & 12.85 & 0.17 & 0.98 & 0.02 & 0.80 & 0.10 & 3.0559 & 23.3108 \\ 
1413.860798 & -5676.2 & 1.9 & 6.79 & 0.02 & 5.25 & 0.04 & 11.87 & 0.13 & 0.83 & 0.02 & 0.65 & 0.07 & 3.0655 & 23.3935 \\ 
1414.858984 & -5674.6 & 2.5 & 6.81 & 0.02 & 5.12 & 0.06 & 11.75 & 0.19 & 0.85 & 0.03 & 0.71 & 0.12 & 3.0560 & 23.1147 \\ 
%1417.855637 & -5681.7 & 2.2 & 6.94 & 0.02 & 5.37 & 0.05 & 12.52 & 0.16 & 0.86 & 0.02 & 0.50 & 0.09 & - & - \\ 
%1418.747354 & -5680.2 & 1.6 & 6.92 & 0.02 & 5.40 & 0.04 & 12.26 & 0.11 & 0.88 & 0.01 & 0.64 & 0.05 & - & - \\ 
%1418.863257 & -5679.4 & 1.7 & 6.91 & 0.02 & 5.45 & 0.04 & 11.47 & 0.12 & 0.84 & 0.01 & 0.60 & 0.06 & - & - \\ 
%1419.818528 & -5675.6 & 1.3 & 6.84 & 0.01 & 5.40 & 0.03 & 11.92 & 0.09 & 0.87 & 0.01 & 0.64 & 0.03 & - & - \\ 
%1422.856542 & -5682.5 & 3.3 & 7.00 & 0.03 & 5.20 & 0.07 & 11.96 & 0.25 & 1.01 & 0.03 & 0.26 & 0.19 & - & - \\ 
%1423.852949 & -5676.8 & 1.3 & 6.85 & 0.01 & 5.34 & 0.03 & 11.97 & 0.09 & 0.83 & 0.01 & 0.66 & 0.03 & - & - \\ 
%1429.828248 & -5676.6 & 1.4 & 6.87 & 0.02 & 5.43 & 0.03 & 11.94 & 0.10 & 0.77 & 0.01 & 0.62 & 0.04 & - & - \\ 
%1430.814044 & -5679.4 & 1.3 & 6.90 & 0.01 & 5.48 & 0.03 & 12.20 & 0.09 & 0.75 & 0.01 & 0.67 & 0.03 & - & - \\ 
%1430.855028 & -5682.2 & 2.3 & 6.89 & 0.02 & 5.25 & 0.05 & 11.73 & 0.17 & 0.71 & 0.02 & 0.63 & 0.11 & - & - \\ 
%1431.765719 & -5675.5 & 1.2 & 6.89 & 0.01 & 5.51 & 0.03 & 12.08 & 0.08 & 0.71 & 0.01 & 0.70 & 0.03 & - & - \\ 
%1431.839620 & -5677.2 & 1.4 & 6.85 & 0.01 & 5.37 & 0.03 & 12.15 & 0.09 & 0.79 & 0.01 & 0.61 & 0.04 & - & - \\ 
%1432.827419 & -5675.4 & 4.4 & 6.85 & 0.04 & 5.36 & 0.11 & 11.44 & 0.36 & 1.05 & 0.05 & 0.33 & 0.36 & - & - \\ 
%1432.846227 & -5671.2 & 3.1 & 6.85 & 0.03 & 5.11 & 0.07 & 12.23 & 0.24 & 1.00 & 0.03 & 0.51 & 0.17 & - & - \\ 
%1442.787348 & -5674.3 & 1.8 & 7.00 & 0.02 & 5.59 & 0.04 & 12.38 & 0.13 & 0.73 & 0.02 & 0.72 & 0.07 & 3.0662 & 23.3590 \\ 
%1443.811401 & -5672.4 & 1.5 & 6.98 & 0.02 & 5.54 & 0.03 & 11.98 & 0.10 & 0.71 & 0.01 & 0.71 & 0.05 & 3.0655 & 23.4072 \\ 
%1443.826910 & -5673.1 & 1.7 & 6.93 & 0.02 & 5.61 & 0.04 & 11.98 & 0.12 & 0.75 & 0.01 & 0.73 & 0.06 & 3.0680 & 23.3922 \\ 
%1447.792476 & -5670.2 & 1.5 & 7.09 & 0.02 & 5.84 & 0.04 & 12.82 & 0.11 & 0.85 & 0.01 & 0.75 & 0.05 & 3.0618 & 23.2936 \\ 
%1447.814710 & -5670.0 & 1.6 & 7.13 & 0.02 & 5.90 & 0.04 & 12.85 & 0.11 & 0.84 & 0.01 & 0.80 & 0.05 & 3.0697 & 23.3623 \\ 
%1452.796963 & -5679.4 & 1.4 & 8.17 & 0.02 & 9.09 & 0.04 & 21.46 & 0.15 & 0.99 & 0.01 & 1.28 & 0.06 & 3.0560 & 23.1953 \\ 
%1453.786516 & -5680.0 & 1.5 & 6.85 & 0.02 & 5.28 & 0.03 & 11.85 & 0.11 & 0.72 & 0.01 & 0.67 & 0.06 & 3.0608 & 23.2478 \\ 
%1454.765190 & -5680.8 & 2.6 & 6.86 & 0.03 & 5.55 & 0.06 & 11.96 & 0.20 & 0.77 & 0.03 & 0.84 & 0.11 & 3.0596 & 23.2169 \\ 
%1455.805856 & -5677.7 & 2.2 & 6.80 & 0.02 & 5.15 & 0.05 & 11.71 & 0.16 & 0.73 & 0.02 & 0.68 & 0.09 & 3.0648 & 23.2725 \\ 
%1467.725614 & -5684.4 & 1.7 & 6.91 & 0.02 & 5.48 & 0.04 & 12.22 & 0.12 & 0.72 & 0.01 & 0.68 & 0.06 & 3.0600 & 23.3548 \\ 
%1467.794227 & -5685.4 & 1.5 & 7.53 & 0.02 & 6.76 & 0.04 & 15.18 & 0.13 & 0.91 & 0.01 & 0.93 & 0.06 & 3.0547 & 23.2194 \\ 
%1467.830848 & -5686.8 & 1.7 & 7.25 & 0.02 & 6.15 & 0.04 & 13.54 & 0.14 & 0.82 & 0.01 & 0.85 & 0.08 & 3.0493 & 23.1580 \\ 
%1468.683897 & -5681.3 & 1.8 & 6.90 & 0.02 & 5.47 & 0.04 & 11.90 & 0.13 & 0.70 & 0.02 & 0.68 & 0.06 & 3.0591 & 23.3835 \\ 
%1468.750681 & -5681.5 & 1.7 & 6.88 & 0.02 & 5.33 & 0.04 & 11.90 & 0.13 & 0.67 & 0.01 & 0.68 & 0.07 & 3.0581 & 23.2470 \\ 
%1468.821169 & -5681.7 & 1.9 & 6.95 & 0.02 & 5.49 & 0.05 & 12.37 & 0.15 & 0.71 & 0.02 & 0.62 & 0.09 & 3.0503 & 23.1931 \\ 
%1469.692737 & -5677.6 & 1.9 & 6.90 & 0.02 & 5.32 & 0.05 & 11.27 & 0.14 & 0.68 & 0.02 & 0.67 & 0.08 & 3.0536 & 23.2966 \\ 
%1469.766535 & -5678.3 & 1.8 & 7.09 & 0.02 & 5.89 & 0.04 & 12.78 & 0.14 & 0.74 & 0.02 & 0.74 & 0.08 & 3.0591 & 23.2273 \\ 
%1469.822751 & -5675.6 & 2.1 & 6.90 & 0.02 & 5.34 & 0.05 & 12.31 & 0.16 & 0.69 & 0.02 & 0.68 & 0.10 & 3.0498 & 23.2401 \\ 
%1471.701795 & -5678.0 & 1.6 & 6.97 & 0.02 & 5.56 & 0.04 & 12.00 & 0.11 & 0.70 & 0.01 & 0.69 & 0.06 & 3.0533 & 23.2349 \\ 
%1471.769331 & -5676.9 & 2.4 & 6.92 & 0.02 & 5.43 & 0.06 & 11.78 & 0.19 & 0.69 & 0.02 & 0.71 & 0.11 & 3.0535 & 23.1039 \\ 
%1471.839436 & -5675.1 & 2.1 & 7.09 & 0.02 & 6.12 & 0.06 & 12.98 & 0.18 & 0.80 & 0.02 & 0.72 & 0.11 & 3.0435 & 23.1256 \\ 
%1474.739486 & -5678.2 & 1.7 & 6.97 & 0.02 & 5.63 & 0.04 & 11.87 & 0.13 & 0.72 & 0.01 & 0.71 & 0.07 & 3.0555 & 23.1630 \\ 
%1475.760885 & -5674.3 & 1.9 & 6.90 & 0.02 & 5.34 & 0.04 & 11.50 & 0.14 & 0.71 & 0.02 & 0.63 & 0.08 & 3.0537 & 23.1053 \\ 
%1476.685187 & -5673.6 & 1.9 & 6.96 & 0.02 & 5.48 & 0.04 & 12.07 & 0.14 & 0.69 & 0.02 & 0.64 & 0.07 & 3.0621 & 23.1765 \\ 
%1476.817227 & -5673.9 & 1.7 & 6.94 & 0.02 & 5.36 & 0.04 & 12.22 & 0.14 & 0.73 & 0.01 & 0.71 & 0.08 & 3.0533 & 23.1327 \\ 
%1477.698843 & -5674.0 & 1.8 & 6.85 & 0.02 & 5.33 & 0.04 & 11.68 & 0.12 & 0.69 & 0.02 & 0.69 & 0.06 & 3.0678 & 23.2818 \\ 
%1477.826172 & -5673.6 & 1.9 & 6.90 & 0.02 & 5.48 & 0.05 & 11.94 & 0.16 & 0.73 & 0.02 & 0.72 & 0.11 & 3.0490 & 23.0353 \\ 
%1478.696561 & -5677.3 & 1.7 & 6.86 & 0.02 & 5.36 & 0.04 & 11.87 & 0.12 & 0.66 & 0.01 & 0.61 & 0.06 & 3.0657 & 23.3576 \\ 
%1478.841055 & -5680.0 & 2.0 & 6.92 & 0.02 & 5.51 & 0.05 & 11.98 & 0.17 & 0.70 & 0.02 & 0.64 & 0.11 & 3.0477 & 23.0236 \\ 
%1479.711433 & -5677.2 & 2.4 & 7.00 & 0.02 & 5.59 & 0.06 & 12.68 & 0.17 & 0.75 & 0.02 & 0.74 & 0.09 & 3.0612 & 23.3397 \\ 
%1479.836251 & -5676.7 & 2.0 & 7.03 & 0.02 & 5.76 & 0.05 & 12.44 & 0.16 & 0.77 & 0.02 & 0.76 & 0.09 & 3.0590 & 23.2074 \\ 
%1480.821145 & -5673.6 & 1.9 & 6.84 & 0.02 & 5.45 & 0.05 & 12.00 & 0.16 & 0.70 & 0.02 & 0.65 & 0.10 & 3.0539 & 23.1610 \\ 
